"SPECIES_CODE","2023","2024","COMMON_NAME"
435,66,223,NA
440,1,3,NA
455,2,116,NA
471,10,239,"Alaska skate"
472,66,334,NA
480,1,262,NA
485,4,43,NA
10110,1138,4377,"arrowtooth flounder"
10112,129,474,"Kamchatka flounder"
10115,25,129,"Greenland turbot"
10130,177,5687,"flathead sole"
20510,551,1401,NA
21720,75,513,"Pacific cod"
21740,1174,51254,"walleye pollock"
30020,65,2105,NA
30051,6,75,NA
30052,9,74,NA
30060,182,4129,NA
30152,1,6,NA
30420,1,0,NA
420,0,3,NA
475,0,3,NA
477,0,1,NA
68580,0,312,"snow crab"
