"Gear","Spread","Height","Area swept","Duration","Tow speed"
"PNE","17.4 (15.1-19.0)","NA (NA-NA)","0.040 (0.033-0.048)","30.6 (26.2-34.4)","2.5 (2.4-2.5)"
"83-112","16.4 (15.1-17.6)","2.0 (1.5-2.5)","0.047 (0.025-0.058)","30.9 (17.2-35.0)","3.0 (2.8-3.3)"
