"common_name","log_ratio","log_ratio_variance","ratio","ratio_bc"
"red king crab",-0.0366671381765448,0.365534772318243,0.963996959736819,1.157312200449
"snow crab",0.188505752552225,0.56876569268039,1.20744402885147,1.60462261628234
"Tanner crab",0.199779615727023,0.531827823161183,1.22113360986042,1.59311867715332
