"Treatment","Hauls","Spread","Height","Speed"
"15",161,"16.55 (13.85-19.23)","2.42 (1.68-3.94)","2.98 (2.77-3.30)"
"30",161,"16.49 (13.84-19.45)","2.43 (1.56-4.21)","2.99 (2.77-3.25)"
