"name","rmse","SPECIES_CODE","LOWEST_RMSE","DELTA_RMSE","gam_knots"
"nb",0.860653953674804,471,TRUE,0,8
"poisson",0.86065421083091,471,FALSE,2.57156105964995e-07,8
"tw",0.900820791547107,471,FALSE,0.0401668378723031,8
"nb",107.695465839048,10110,TRUE,0,8
"poisson",118.177570391779,10110,FALSE,10.482104552731,8
"tw",107.93654013312,10110,FALSE,0.241074294071865,8
"nb",4.98159854840337,10112,FALSE,0.0127135963838221,8
"poisson",5.18020187722313,10112,FALSE,0.211316925203578,8
"tw",4.96888495201955,10112,TRUE,0,8
"nb",121.563333165496,10130,FALSE,0.894546313966742,6
"poisson",120.668786851529,10130,TRUE,0,6
"tw",122.109683631894,10130,FALSE,1.44089678036457,6
"nb",3.31475343108939,21720,FALSE,0.0667607165093274,6
"poisson",3.27551232136226,21720,FALSE,0.0275196067821977,6
"tw",3.24799271458006,21720,TRUE,0,6
"nb",661.095223060107,21740,FALSE,48.0706182446837,8
"poisson",613.024604815423,21740,TRUE,0,8
"tw",636.219561121116,21740,FALSE,23.194956305693,8
"nb",1.1705435116404,10115,FALSE,3.4204455125364e-05,6
"poisson",1.17050930718527,10115,TRUE,0,6
"tw",1.226969409037,10115,FALSE,0.0564601018517261,6
"nb",0.721121608128998,68580,FALSE,1.87246492822091e-06,2
"poisson",0.72111973566407,68580,TRUE,0,2
"tw",0.768441521600159,68580,FALSE,0.0473217859360895,2
