OBS CPUE15T  CPUE30T   RATIOF   RATIOM   RATIOT   LNRATF    LNRATM    LNRATT

  1   4.351   4.5821   .       1.00231  0.94956    .        0.00231  -0.05176
  2  37.661  15.3431  2.27003  2.71296  2.45459   0.81979   0.99804   0.89796
  3  14.340  20.8660  0.72024  0.57342  0.68725  -0.32817  -0.55613  -0.37506
  4  21.465  16.9542  1.15881  1.56639  1.26606   0.14739   0.44877   0.23591
  5   9.769  25.7732  0.46055  0.08347  0.37902  -0.77533  -2.48321  -0.97016
  6  29.177  24.8250  1.17496  1.18254  1.17531   0.16124   0.16767   0.16153
  7   8.413   8.8519  1.02559  0.70815  0.95041   0.02527  -0.34510  -0.05086
  8  16.150  24.7472  0.57430  0.88442  0.65258  -0.55461  -0.12282  -0.42682
  9  23.148  22.0480  0.99753  1.12703  1.04988  -0.00248   0.11959   0.04867
 10  16.513  14.1516  2.08618  0.76323  1.16684   0.73533  -0.27019   0.15430
 11   0.957   1.7942  0.47411  0.56893  0.53337  -0.74632  -0.56399  -0.62853
 12   1.822   2.2934  0.39732  1.19196  0.79464  -0.92301   0.17560  -0.22986
 13   4.512   3.1001  2.03751  1.01875  1.45536   0.71173   0.01858   0.37526
 14   8.753   9.7604  0.37213  1.80607  0.89674  -0.98851   0.59115  -0.10899
 15  13.805  12.3893  1.05996  1.13189  1.11424   0.05823   0.12388   0.10818
