"name","rmse","SPECIES_CODE","LOWEST_RMSE","DELTA_RMSE","gam_knots"
"nb",41.7423856959402,10130,FALSE,4.66706895893275,9
"poisson",37.0753167370074,10130,TRUE,0,9
"tw",42.5364356182497,10130,FALSE,5.46111888124225,9
"nb",257.193600887633,10210,FALSE,23.5582334940199,6
"poisson",233.635367393613,10210,TRUE,0,6
"tw",258.203710707401,10210,FALSE,24.5683433137871,6
"nb",162.298431232651,10261,FALSE,8.44104906783392,9
"poisson",153.857382164817,10261,TRUE,0,9
"tw",162.967157073596,10261,FALSE,9.10977490877897,9
"nb",44.9480297487508,21720,TRUE,0,8
"poisson",48.6625586060399,21720,FALSE,3.71452885728907,8
"tw",45.3897076055526,21720,FALSE,0.441677856801782,8
"nb",118.960049935088,21740,FALSE,21.0204940358658,8
"poisson",97.9395558992223,21740,TRUE,0,8
"tw",120.749146536222,21740,FALSE,22.809590637,8
"nb",19.5637596653616,10110,FALSE,0.783309282134674,8
"poisson",18.7804503832269,10110,TRUE,0,8
"tw",19.7513583818352,10110,FALSE,0.970907998608308,8
"nb",35.0064773104164,10285,FALSE,6.73159263343305,4
"poisson",28.2748846769834,10285,TRUE,0,4
"tw",35.66108078995,10285,FALSE,7.38619611296663,4
"nb",4.7562721004055,68560,TRUE,0,8
"poisson",4.76425057002207,68560,FALSE,0.00797846961657545,8
"tw",4.77280949574022,68560,FALSE,0.0165373953347219,8
"nb",19.4523357585023,69322,TRUE,0,5
"poisson",19.9525086924412,69322,FALSE,0.50017293393892,5
"tw",19.7408978956899,69322,FALSE,0.28856213718759,5
"nb",1.27238782513639,471,TRUE,0,8
"poisson",1.28212230730347,471,FALSE,0.00973448216707906,8
"tw",1.36777156796223,471,FALSE,0.0953837428258386,8
"nb",11.5334226030343,68580,TRUE,0,9
"poisson",11.6562947574178,68580,FALSE,0.122872154383476,9
"tw",11.6893341373786,68580,FALSE,0.155911534344266,9
