SPECIES_CODE,common_name
420,Rajidae
435,Rajidae
440,Rajidae
455,Rajidae
471,Rajidae
472,Rajidae
475,Rajidae
477,Rajidae
480,Rajidae
485,Rajidae
10110,arrowtooth flounder
10112,Kamchatka flounder
10115,Greenland turbot
10130,flathead sole
20510,sablefish
21720,Pacific cod
21740,walleye pollock
30020,shortspine thornyhead
30051,BS/RE rockfish
30052,BS/RE rockfish
30060,Pacific ocean perch
30152,dusky rockfish
30420,northern rockfish
68580,snow crab
