CPUE comparison between 15 and 30 minute tows
 BIAS > 1 = 15 minutes higher
 MEAN_RATIO > 1 = 15 minutes higher


"COMMON_NAME","BIAS","MEAN_RATIO","MAE","RMSE"
"Alaska skate",1.22122760830918,2.36313500714581,2.03150208739705,664.633943588052
"arrowooth flounder",0.835345449431647,0.923320734499248,1.50103255089995,895.600617948705
"flathead sole",0.956168297451434,1.11450647260917,1.48772687952215,652.84928782335
"yellowfin sole",0.988892532693705,1.18735753539557,1.44751131987262,5427.77894574937
"northern rock sole",1.16733399134095,1.31312094518857,1.40181230454694,2534.98796801676
"Alaska plaice",0.806445311002794,1.01868077384902,1.78740575988006,1176.57959707952
"Pacific cod",0.963133435205127,1.46927644595201,2.09843593826842,1545.73385424073
"walleye pollock",1.06264248937477,1.33054075693303,1.64196445944112,8128.16597701249
"Tanner crab",0.818443165919778,1.06846142596961,1.87623985800927,180.632087796481
"snow crab",0.889655768754299,1.03539863168865,1.65623531895713,10.9870997563463
"red king crab",0.937700645197723,1.42560447474248,2.02316296205108,1484.3774288236
